"ID_Sito";"Nome_Sito";"Indirizzo";"Sistema";"Attivita";"Frequenza";"Normativa";"Stato_Documentale";"Note";"Last_Date";"Next_Date";"Urgency";"Priority"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"2 n.ro x Caldaie (36-350 kW)";"Mensile/Trimestrale";"DPR 74/13";"DA VERIFICARE";"Analisi combustione.";"";"2026-06-15";"Normal";"10"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"1 n.ro x Gruppi Frigo / Chiller";"Mensile / Trimestrale";"Reg. (UE) 517";"DA VERIFICARE";"Ricerca perdite.";"";"2026-06-15";"Normal";"30"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"4075 m2 n.ro x Distribuzione impianti idronici e sottocentrali";"Annuale";"Norme Tecniche";"DA VERIFICARE";"Manutenzione";"";"2026-06-15";"Normal";"40"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"4 n.ro x Condizionatori tipo split/VRV/carrellabili";"Annuale";"Linee Guida";"DA VERIFICARE";"Sanificazione";"";"2026-06-15";"Normal";"60"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"1 n.ro x UTA (Trattamento Aria)";"Trimestrale";"Linee Guida";"DA VERIFICARE";"Sostituzione filtri.";"";"2026-06-15";"Normal";"70"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"3715 m2 n.ro x Canali di distribuzione, ripresa, serrande";"Annuale";"Linee Guida";"DA VERIFICARE";"Pulizia condotte";"";"2026-06-15";"Normal";"80"
"01";"Via Doria 52";"Via Andrea Doria 52";"ELETTRICI";"4075 m2 n.ro x Quadri e Distribuzione";"Annuale";"CEI 64-8";"DA VERIFICARE";"Pulizia carpenteria.";"";"2026-06-15";"Normal";"90"
"01";"Via Doria 52";"Via Andrea Doria 52";"ELETTRICI";"43 n.ro x Locali Uso Medico (G1/G2)";"Annuale/Semestrale";"CEI 64-8/7-710";"DA VERIFICARE";"Prova differenziali.";"";"2026-06-15";"Normal";"110"
"01";"Via Doria 52";"Via Andrea Doria 52";"ELETTRICI";"4075 m2 n.ro x Impianto Terra / Scariche";"Biennale";"DPR 462/01";"DA VERIFICARE";"Misura resistenza terra.";"";"2026-06-15";"Normal";"120"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"1 n.ro x Centrali idriche (Vasche)";"Mensile";"D.Lgs 31/01";"DA VERIFICARE";"Controllo vasche";"";"2026-06-15";"Normal";"130"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"1 n.ro x Addolcitori";"Settimanale/Mensile";"DM 25/12";"DA VERIFICARE";"Verifica durezza.";"";"2026-06-15";"Normal";"140"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"4075 m2 n.ro x Distribuzione idrico sanitaria";"Annuale";"D.Lgs 31/01";"DA VERIFICARE";"Verifiche perdite";"";"2026-06-15";"Normal";"150"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"1 n.ro x Produttori Biossido Cloro";"Settimanale";"Linee Guida";"DA VERIFICARE";"Dosaggio continuo.";"";"2026-06-15";"Normal";"160"
"01";"Via Doria 52";"Via Andrea Doria 52";"MECCANICI";"3 n.ro x Prove della legionella della rete idrico-sanitaria";"Annuale";"Linee Guida";"DA VERIFICARE";"Prelievi";"";"2026-06-15";"Normal";"170"
"01";"Via Doria 52";"Via Andrea Doria 52";"ANTINCENDIO";"4055 m2 n.ro x Rilevazione Fumi";"Semestrale";"UNI 11224";"DA VERIFICARE";"Test dei rilevatori.";"";"2026-06-15";"Normal";"190"
"01";"Via Doria 52";"Via Andrea Doria 52";"ANTINCENDIO";"1374 m2 n.ro x Illum. Emergenza";"Semestrale";"UNI EN 1838";"DA VERIFICARE";"Test di autonomia.";"";"2026-06-15";"Normal";"200"
"01";"Via Doria 52";"Via Andrea Doria 52";"ANTINCENDIO";"90 n.ro x Porte Tagliafuoco / REI";"Semestrale";"DM 10/03/98";"DA VERIFICARE";"Verifica integritÃ  guarnizioni.";"";"2026-06-15";"Normal";"210"
"01";"Via Doria 52";"Via Andrea Doria 52";"ANTINCENDIO";"54 n.ro x Estintori";"Semestrale";"UNI 9994-1, DPR 151/11";"DA VERIFICARE";"Verificare pressione, carica e integritÃ .";"";"2026-06-15";"Normal";"220"
